id,type,x,y,z,slope,outgoing,drain,drainCoupledID,drainType,drainLength,drainWidth,n_Manning,yFull,area,width
64,STREET,823376.521767566,93516.5040581164,31.0896,0.003990829211368,295,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
65,STREET,823481.993311045,93375.3915259491,32.9184,0.0069369167961794,62,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
66,STREET,824237.648352566,92479.8440983127,34.4424,0.0204652940342789,69,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
67,STREET,824244.236886553,92504.9656668076,34.4424,0.0218408798593734,76,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
68,STREET,824146.496966054,92481.11479608,32.9184,0.0096718401215707,218,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
69,STREET,824173.681027665,92517.9701407979,32.9184,0.010007221838987,218,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
70,STREET,823594.509141409,92488.8097936355,32.3088,0.009920690394572,262,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
71,STREET,824704.750686644,92473.3324486741,34.7472,0.0057904466670434,212,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
72,STREET,823812.590499296,92485.769626007,32.004,0.0114263005689443,220,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
73,STREET,824370.691508693,92477.9894074745,34.1376,0.0159941778665768,85,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
74,STREET,823659.445724407,92487.9045438725,32.3088,0.004512720201716,235,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
75,STREET,824601.982971062,92512.5095517179,33.8328,0.0098361654414783,3,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
76,STREET,824178.40911821,92528.1085205182,32.9184,0.0100363732813681,8,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
77,STREET,823617.818739395,92519.9769367828,32.3088,0.009829406910771,79,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0,0
