id,type,x,y,z,slope,outgoing,drain,drainCoupledID,drainType,drainLength,drainWidth,n_Manning,yFull,area,width
89,STREET,823951.100,93342.616,28.3464,0.009230,88,1,612,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
90,STREET,823951.099,93342.619,28.3464,0.009230,88,1,612,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
91,STREET,824753.109,92758.668,31.6992,0.005252,92,1,453,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
92,STREET,824706.120,92792.730,31.3944,0.003077,86,1,392,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
93,STREET,824377.571,92748.327,29.5656,0.005453,15,1,456,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
94,STREET,824205.444,92808.178,27.7368,0.013325,175,1,502,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
95,STREET,824233.503,92836.452,27.7368,0.004100,201,1,502,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
96,STREET,824301.118,92899.120,27.4320,0.005322,99,1,420,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
97,STREET,824311.656,92911.653,27.4320,0.005783,99,1,420,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
98,STREET,824380.397,93029.686,27.7368,0.018234,99,1,574,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
99,STREET,824326.366,93069.074,26.5176,0.003051,141,1,574,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
100,STREET,824326.362,93069.075,26.5176,0.003052,141,1,574,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
101,OUTFALLSTREET,824225.767,93142.400,26.2128,0.000000,-1,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
102,STREET,824225.769,93142.402,26.2128,0.000000,101,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
103,STREET,824225.765,93142.403,26.2128,0.000000,101,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
104,STREET,824116.136,93222.316,26.5176,0.002247,139,1,509,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
105,STREET,823228.501,93176.982,32.3088,0.008724,230,1,382,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
106,STREET,824116.132,93222.319,26.5176,0.002247,139,1,509,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
107,STREET,824031.158,93284.259,27.4320,0.008696,106,1,440,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
108,STREET,823250.121,93403.941,30.7848,0.002648,300,1,365,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
109,STREET,823235.923,93419.926,30.7848,0.003074,300,1,365,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
110,STREET,823232.716,93423.538,30.7848,0.003180,300,1,365,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
111,STREET,823505.846,93514.253,31.0896,0.001508,295,0,-1,P-50x100,0.818,0.415,0.013,0.3197,0.0000,0.00
